2025-11-12T22:34:47.663241 | 198.51.100.62 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=portal
2025-11-12T22:38:05.358688 | 198.51.100.12 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:38:05.472561 | 198.51.100.99 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:38:05.586575 | 198.51.100.90 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:38:05.601707 | 198.51.100.135 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:38:05.717479 | 198.51.100.221 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:38:05.833676 | 198.51.100.200 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:38:05.949352 | 198.51.100.68 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:38:06.065931 | 198.51.100.201 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:07.936949 | 198.51.100.52 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=portal
2025-11-12T22:39:07.964139 | 198.51.100.233 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=portal
2025-11-12T22:39:49.729469 | 198.51.100.21 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=portal
2025-11-12T22:39:49.856848 | 198.51.100.115 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=portal
2025-11-12T22:39:49.869495 | 198.51.100.168 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=portal
2025-11-12T22:39:49.981397 | 198.51.100.38 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=portal
2025-11-12T22:39:50.092558 | 198.51.100.116 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=portal
2025-11-12T22:39:50.203388 | 198.51.100.15 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=portal
2025-11-12T22:39:50.345642 | 198.51.100.93 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=shield
2025-11-12T22:39:50.456779 | 198.51.100.221 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=shield
2025-11-12T22:39:50.467530 | 198.51.100.181 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=shield
2025-11-12T22:39:50.578037 | 198.51.100.54 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=shield
2025-11-12T22:39:50.710723 | 198.51.100.171 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:50.823219 | 198.51.100.48 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:50.933366 | 198.51.100.92 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:51.043771 | 198.51.100.89 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:51.154125 | 198.51.100.25 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:51.264686 | 198.51.100.250 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:51.275666 | 198.51.100.112 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:51.387174 | 198.51.100.25 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:51.497532 | 198.51.100.131 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:51.608566 | 198.51.100.239 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:51.719349 | 198.51.100.19 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:51.829950 | 198.51.100.238 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:51.940813 | 198.51.100.245 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:52.051802 | 198.51.100.220 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:52.162936 | 198.51.100.97 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:52.175758 | 198.51.100.144 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:39:52.288031 | 198.51.100.114 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:52.399045 | 198.51.100.212 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:52.510335 | 198.51.100.133 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:52.621394 | 198.51.100.245 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:52.733182 | 198.51.100.157 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:52.844396 | 198.51.100.91 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:52.955396 | 198.51.100.57 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:53.065795 | 198.51.100.135 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:53.076860 | 198.51.100.50 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:53.187878 | 198.51.100.124 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:53.299586 | 198.51.100.135 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:53.411373 | 198.51.100.139 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:53.521859 | 198.51.100.45 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:53.633082 | 198.51.100.134 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:53.743786 | 198.51.100.110 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:53.854564 | 198.51.100.224 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:53.965478 | 198.51.100.202 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:53.976390 | 198.51.100.113 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:54.087679 | 198.51.100.127 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:54.199187 | 198.51.100.129 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:54.309800 | 198.51.100.156 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:54.421030 | 198.51.100.126 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:54.531589 | 198.51.100.69 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:54.642421 | 198.51.100.34 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:54.757615 | 198.51.100.73 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:39:54.871536 | 198.51.100.154 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:54.886213 | 198.51.100.204 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:55.000657 | 198.51.100.211 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:55.113548 | 198.51.100.16 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:55.229035 | 198.51.100.133 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:55.344045 | 198.51.100.143 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:55.458251 | 198.51.100.54 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:55.572405 | 198.51.100.148 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:55.586936 | 198.51.100.173 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:39:55.701031 | 198.51.100.210 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:55.814546 | 198.51.100.6 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:55.928710 | 198.51.100.85 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:56.042997 | 198.51.100.177 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:56.157302 | 198.51.100.116 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:56.274301 | 198.51.100.190 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:56.287397 | 198.51.100.178 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:56.399997 | 198.51.100.45 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:56.514188 | 198.51.100.19 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:56.628656 | 198.51.100.122 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:56.743240 | 198.51.100.163 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:56.857839 | 198.51.100.203 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:56.971932 | 198.51.100.87 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:56.985669 | 198.51.100.20 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:39:57.099962 | 198.51.100.83 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:57.214139 | 198.51.100.13 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:57.329484 | 198.51.100.222 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:57.444373 | 198.51.100.224 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:57.559916 | 198.51.100.190 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:57.673941 | 198.51.100.46 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:57.691940 | 198.51.100.135 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:57.807184 | 198.51.100.162 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:57.920804 | 198.51.100.174 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:58.035935 | 198.51.100.51 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:58.152643 | 198.51.100.231 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:39:58.267067 | 198.51.100.105 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:39:58.381228 | 198.51.100.250 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:39:58.394848 | 198.51.100.204 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:58.509337 | 198.51.100.179 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:58.622600 | 198.51.100.28 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:39:58.736465 | 198.51.100.71 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:58.851480 | 198.51.100.239 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:58.966780 | 198.51.100.97 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:39:59.080482 | 198.51.100.201 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:59.097461 | 198.51.100.33 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:39:59.214745 | 198.51.100.165 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:39:59.328287 | 198.51.100.234 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:59.442307 | 198.51.100.169 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:39:59.556770 | 198.51.100.12 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:39:59.670479 | 198.51.100.192 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:59.784996 | 198.51.100.166 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:39:59.799030 | 198.51.100.208 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:39:59.915338 | 198.51.100.93 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:00.029714 | 198.51.100.194 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:00.144287 | 198.51.100.184 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:00.258709 | 198.51.100.63 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:00.373159 | 198.51.100.250 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:00.486792 | 198.51.100.104 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:00.500433 | 198.51.100.220 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:00.614730 | 198.51.100.18 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:00.727930 | 198.51.100.107 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:00.842853 | 198.51.100.139 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:00.957000 | 198.51.100.15 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:01.071255 | 198.51.100.96 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:01.186025 | 198.51.100.175 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:01.201114 | 198.51.100.208 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:01.320880 | 198.51.100.93 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:01.436788 | 198.51.100.140 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:01.551156 | 198.51.100.119 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:01.666652 | 198.51.100.46 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:01.781416 | 198.51.100.85 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:01.796529 | 198.51.100.67 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:01.911219 | 198.51.100.202 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:40:02.024532 | 198.51.100.214 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:02.138812 | 198.51.100.81 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:02.256307 | 198.51.100.228 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:40:02.371178 | 198.51.100.132 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:02.486974 | 198.51.100.211 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:02.501392 | 198.51.100.45 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:02.617418 | 198.51.100.139 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:02.732793 | 198.51.100.235 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:40:02.851038 | 198.51.100.30 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:02.964833 | 198.51.100.59 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:03.079826 | 198.51.100.38 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:03.193736 | 198.51.100.80 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:03.208179 | 198.51.100.118 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:03.322269 | 198.51.100.113 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:40:03.436071 | 198.51.100.101 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:03.550548 | 198.51.100.31 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:03.665084 | 198.51.100.238 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:03.778941 | 198.51.100.182 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:03.893613 | 198.51.100.66 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:03.909038 | 198.51.100.36 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:04.026503 | 198.51.100.94 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:04.140537 | 198.51.100.144 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:40:04.255436 | 198.51.100.10 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:04.370492 | 198.51.100.199 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:40:04.484536 | 198.51.100.212 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:04.598807 | 198.51.100.62 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:04.612998 | 198.51.100.165 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:04.726730 | 198.51.100.72 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:40:04.841571 | 198.51.100.80 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:04.955744 | 198.51.100.230 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:05.070430 | 198.51.100.136 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:40:05.185427 | 198.51.100.74 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:05.299205 | 198.51.100.247 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:05.313273 | 198.51.100.65 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:05.438102 | 198.51.100.144 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:05.551385 | 198.51.100.136 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:40:05.662149 | 198.51.100.223 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:05.773299 | 198.51.100.205 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:05.883691 | 198.51.100.118 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:05.994232 | 198.51.100.60 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:06.104947 | 198.51.100.114 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:06.115411 | 198.51.100.192 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:06.226756 | 198.51.100.166 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:06.337549 | 198.51.100.125 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:06.448515 | 198.51.100.181 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:06.559497 | 198.51.100.61 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:40:06.670306 | 198.51.100.20 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=lockdown
2025-11-12T22:40:06.781613 | 198.51.100.137 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:06.892034 | 198.51.100.43 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:07.002343 | 198.51.100.114 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:40:07.012935 | 198.51.100.112 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=3 | mode=lockdown
2025-11-12T22:40:07.123747 | 198.51.100.166 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:40:07.233890 | 198.51.100.33 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:07.344917 | 198.51.100.160 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:40:07.455735 | 198.51.100.230 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:07.566195 | 198.51.100.14 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=3 | mode=lockdown
2025-11-12T22:40:07.676720 | 198.51.100.145 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:07.789057 | 198.51.100.22 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:40:07.899694 | 198.51.100.82 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:40:08.010656 | 198.51.100.143 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:40:08.021147 | 198.51.100.127 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:40:08.132186 | 198.51.100.25 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:40:08.242454 | 198.51.100.47 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
